●蟲師 OST1 蟲音(むしのね) 前
●和泉かねよし メンズ校 女王の花
●落合尚之 罪と罰
●幼女戦記
●夕希実久 マリーミー!
●憂国のラスプーチン
●勇人 はなまる幼稚園
●優 五時間目の戦争
●柳澤一明
●柳広司 仁藤すばる ジョーカー ゲーム THE ANIMATION
●矢野健太郎 バストショット 全3巻
●矢吹健太朗 長谷見沙貴 ToLOVEる －とらぶる－
●野村宗弘 とろける鉄工所
●門井亜矢
●鳴子ハナハル
●名香智子 マダム ジョーカー
●夢路行 あの山越えて
●箕星太朗 制服ロビンソン
●魔法行商人ロマ
●魔王遭難中
●本庄敬  両国居酒屋物語ハルの肴
●堀口純男誉田哲也 ストロベリーナイト
●僕らはみんな死んでいる♪
●北尾トロ 松橋犬輔 裁判長！ここは懲役4年でどうすか
●北川みゆき 魔女は二度喘ぐ
●北の土龍
●望月三起也
●暴れん坊本屋さん
●放課後カルテ
●峰倉かずや 最遊記RELOAD BLAST
●暮石ヤコ ソマリと森の神様
●米村孝一郎 森岡浩之 星界の紋章
●平野耕太 HELLSING ヘルシング
●平井和正 ウルフガイ
●塀内夏子
●伏見つかさxRin エロマンガ先生
●富田安紀良 NIGHT BLOOD
●浜村渚の計算ノート
●美波はるこ
●飛永宏之 真保裕一 ホワイトアウト
●八木教広 CLAYMORE クレイモア
●八十亀ちゃんかんさつにっき
●函岬誉 嫁姑の拳
●白乃雪  あたりのキッチン！
●博 アクアリウム
●梅宮スキ 公爵令嬢の嗜み
●波津彬子
●能田茂 周良貨 監査役 野崎修平
●猫田ゆかり
●入江喜和 たそがれたかこ
●二階堂ヒカル あおざくら 防衛大学校物語
●南勝久 ザ ファブル
●内山まもる
●得能正太郎
●藤末さくら さんかく屋根街アパート
●藤見泰高 REDICE  巨蟲列島
●藤井みつる
●筒井康隆 NANASE ナナセ
●東雲太郎
●島崎譲
●渡辺静 リアルアカウント  この彼女はフィクションです。
●田中一行 エンバンメイズ
●田中ユキ
●田中くんはいつもけだるげ
●田口ケンジ 汚物は消毒です
●天野しゅにんた あやめ
●天沢アキ くちうつす
●津田雅美
●長浜幸子 少女は漂流する
●超平和バスターズ 阿久井真 心が叫びたがってるんだ。
●朝陽昇 空想郵便局
●朝基まさし
●中野純子
●中島守男
●中田ゆみ
●中山幸 ブレンド S
●竹宮恵子 私を月まで連れてって！ 全6巻＋α
●竹下堅次朗 Purple
●池田理代子
●池田晃久 ロザリオとバンパイア
●大野ツトム
●大島司
●大森藤ノ 矢樹貴 ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード オラトリア
●大城ようこう
●大高忍 マギ すもももももも
●大久保ヒロミ 人は見た目が100パーセント
●大河原遁 王様の仕立て屋～サルト フィニート～
●鯛噛 うらたにみずき アンサングヒーロー
●蔵石ユウ イナベカズ 水谷健吾 食糧人類
●蔵の宿
●前田悠 激辛課長
●川上亮 小独活  人狼ゲーム クレイジーフォックス
●仙道ますみ あい。
●石原まこちん THE3名様
●石ノ森章太郎
●青池保子
●西条真二
●清水としみつ 僕の歌子さん
●清原なつの
●星野泰視 デラシネマ
●瀬奈陽太郎
●水木しげる
●水穂しゅうし はいすくーる仁義 第01-14巻
●水上悟志
●人野田宏 若松卓宏 魚姫のごめんねご飯
●神尾葉子 虎と狼
●神坂智子
●真鍋昌平 闇金ウシジマくん
●深巳琳子 沈夫人の料理店
●深谷陽 運び屋ケン
●森繁拓真 となりの関くん
●森田崇
●森田信吾
●森小太郎 GAINAX 中島かずき 天元突破グレンラガン
●森永あい
●信濃川日出雄 少年よ ギターを抱け
●色白好 ガイシューイッショク！
●上端たに 火野俊平 風俗店長物語
●上杉可南子
●上山道郎 ツマヌダ格闘街
●松本直也 怪獣8号
●松井優征 暗殺教室
●小林陽一 藤堂裕 S  最後の警官
●小林尽
●小野洋一郎 ブッシメン
●小野佳苗 しようよ 全13巻
●小嶋ララ子 犬鷲百桃はゆるがない
●小田ゆうあ 斉藤さん
●小川悦司
●小虎 圧勝
●春場ねぎ 五等分の花嫁
●秋里和国
●秋★枝
●酒井美羽 10ダンス! ダンス! ダンス!!
●紗池晃久 GHOST GIRL ゴーストガール
●篠原とおる やどかり
●室山まゆみ あさりちゃん
●寺嶋裕二 ダイヤのA
●私屋カヲル
●山名沢湖
●山本亜季
●山田くんとLv999の恋をする
●山口譲司 警察庁美人局 全04巻
●山下和美
●山を渡る
●三谷美佐子 子育てパラダイス
●三浦しをん×雲田はるこ  舟を編む
●雑誌3 毒りんごcomic
●斎藤さん もっと Saitou-san Motto
●斎藤けん かわいいひと
●才谷ウメタロウ
●左藤真通
●佐野未央子 日日（にちにち）べんとう
●佐藤まさき 水野敬也 LOVE理論
●佐々木陽子 タイムスリップオタガール
●高尾の天狗と脱ハイヒール
●高田りえ アンダーヒーロー
●高須賀由枝 コミンカビヨリ
●高橋慶太郎 デストロ246 ヨルムンガンド
●高橋拡那
●荒川三喜夫 ピアノのムシ
●江口賢一
●江戸前鮨職人 きららの仕事 早川光 橋本狐蔵
●江戸川エドガワ 葛西竜哉 生贄投票
●後藤晶
●後藤羽矢子
●五十嵐浩一
●戸田誠二
●古谷実 サルチネス
●古賀慶 トレース 科捜研法医研究員の追想
●元町夏央 あねおと
●元・世界１位のサブキャラ育成日記
●犬上すくね
●結城信輝
●結城浩 春日旬 数学ガール フェルマーの最終定理
●繋がる個体 山本中学
●栗山ミヅキ 保安官エヴァンスの嘘
●熊倉隆敏
●空知英秋 銀魂
●近由子 女なのでしょうがない
●近藤勝也
●桐原いづみ
●玉井雪雄
●郷田マモラ モリのアサガオ
●魚戸おさむ 玄米せんせいの弁当箱
●宮脇明子 ヤヌスの鏡
●宮本福助 拝み屋横町顛末記
●宮部サチ まめコーデ
●宮原るり
●丘上あい 赤ちゃんのホスト
●吉田覚 働かないふたり
●吉住渉 ミントな僕ら 全6巻
●吉岡李々子 彼はトモダチ
●岩本ナオ 町でうわさの天狗の子
●鴨居まさね 雲の上のキスケさん
●鎌池和馬 冬川基 とある科学の超電磁砲 とある魔術の禁書目録
●加納梨衣 スローモーションをもう一度
●加藤知子 天上の愛 地上の恋
●加藤山羊 あいの結婚相談所
●乙女のホゾシタ
●岡田あーみん ルナティック雑技団 全3巻
●岡崎二郎
●岡戸達也
●遠山光
●英洋子
●英語 魔法科高校の劣等生
●卯花つかさ  はじおつ
●宇野比呂士
●井原裕士
●井ノ本リカ子
●伊藤誠 兎 -野生の闘牌-
●伊東岳彦
●伊図透 銃座のウルナ
●安富高史 監察医 SAYOKO 全5巻
●安原いちる
●ワールドトリガー
●リカチ
●よしたに いつかモテるかな
●もりた毬太×若林裕介 俺が童貞を捨てたら死ぬ件について
●ももち麗子
●まんがで読破
●ぺン先にシロップ
●ニーチェ先生 コンビニに、さとり世代の新人が舞い降りた
●ナガテユカ ギフト±
●なかとかくみこ 塩田先生と雨井ちゃん
●ちょっとまて野球部！―県立神弦高校野球部の日常―
●たらさわみち
●たなかのか
●しろまんた
●ごとう和 エンジェル日誌
●これは経費で落ちません！ ～経理部の森若さん～
●これだからアニメってやつは!
●くずしろ
●がらくたストリート
●カヅホ キルミーベイベー
●かかし朝浩 暴れん坊少納言
●おみおみ  君が死なない日のごはん
●アンギャマン ラーメン赤猫
●アサダニッキ
●♪英語
●TOBI 屋上姫
●iko  テラモリ
●Ｄ カーネギー
●BUNGO ブンゴ
●10 槇村さとる
●10 諫山創 諌山創 進撃の巨人
●10 和田慎二 超少女明日香 聖痕編 式神編 学校編
●10 和月伸宏 るろうに剣心 明治剣客浪漫譚 武装錬金 エンバーミング
●10 柳本光晴 龍と苺 響～小説家になる方法～
●10 柳沼行 ふたつのスピカ
●10 木根さんの1人でキネマ アサイ
●10 北条司 シティーハンター エンジェルハート
●10 福本伸行 アカギ カイジ 銀と金 黒沢
●10 武富健治 鈴木先生
●10 冨樫義博 HUNTER×HUNTER
●10 美内すずえ ガラスの仮面
●10 尾田栄一郎 ONE PIECE ワンピース onepiece
●10 板垣恵介 餓狼伝 範馬刃牙 刃牙道
●10 萩原一至 BASTARD!! 暗黒の破壊神
●10 島本和彦 アオイホノオ
●10 渡辺多恵子
●10 田中芳樹 藤崎竜 銀河英雄伝説
●10 田中ユタカ  もと子先生の恋人 愛人
●10 鳥山明 ドラゴンボール Neko Majin
●10 大島弓子
●10 村田雄介 ONE アイシールド21 ワンパンマン
●10 村枝賢一 仮面ライダーSPIRITS かもしか！
●10 曽田正人 カペタ 昴
●10 船戸明里 Under the Rose
●10 泉光 図書館の大魔術師
●10 戦争は女の顔をしていない 狼と香辛料 小梅けいと
●10 川原正敏 修羅の門
●10 赤名修 真刈信二 勇午
●10 石塚真一 BLUE GIANT 岳
●10 深見じゅん 悪女 ワル
●10 森川ジョージ はじめの一歩
●10 森薫
●10 新谷かおる 佐伯かよの
●10 新川直司 四月は君の嘘 さよなら私のクラマー アトワイトゲーム
●10 松本大洋 ピンポン
●10 小畑健 ほったゆみ ヒカルの碁
●10 樹なつみ
●10 朱戸アオ リウーを待ちながら
●10 車田正美 聖闘士星矢
●10 柴田ヨクサル ハチワンダイバー
●10 紫堂恭子
●10 施川ユウキ バーナード嬢曰く
●10 山岸凉子 舞姫 テレプシコーラ
●10 三浦建太郎 ベルセルク
●10 高橋留美子 めぞん一刻 うる星やつら 境界のRINNE 1ポンドの福音
●10 高橋しん
●10 荒木飛呂彦 ジョジョの奇妙な冒険
●10 幸村誠 VINLAND SAGA ヴィンランド・サガ
●10 原哲夫 北斗の拳 蒼天の拳
●10 弓月光 甘い生活
●10 宮崎駿 HayaoMiyazaki-DaydreamNote
●10 久慈光久 狼の口 ヴォルフスムント
●10 吉田聡 荒くれNIGHT
●10 吉田秋生
●10 技来静也 拳闘暗黒伝セスタス
●10 岩明均 寄生獣 ヒストリエ レイリ
●10 叶精作 新上がってなンボ!! 太一よ泣くな
●10 沖田×華 沖田X華 透明なゆりかご 産婦人科医院看護師見習い日記
●10 沖一 アストロノーツ
●10 遠藤淑子
●10 永井豪 バイオレンスジャック
●10 浦沢直樹 YAWARA
●10 雨瀬シオリ ここは今から倫理です。 ALL OUT
●10 稲田浩司 三条陸 稲田浩司 ダイの大冒険 冒険王ビィト
●10 井上雄彦
●10 ゆでたまご キン肉マン キン肉マンII世
●10 ゆうきまさみ
●10 ながやす巧 大友克洋
●10 なかいま強 わたるがぴゅん！ 黄金のラフ
●10 ちばてつや おれは鉄兵
●10 ちばあきお キャプテン プレイボール
●10 たーし ドンケツ
●10 かわぐちかいじ 沈黙の艦隊
●10 あだち充 MIX
●10 CLAMP
●10 Boichi Dr.STONE Dr ストーン HOTEL
●9 藏丸竜彦 数学ゴールデン
●9 鈴木望 青に、ふれる。
●9 雷句誠 金色のガッシュ！！
●9 柳沢きみお
●9 矢沢あい
●9 木村紺
●9 木下由一 あらくれお嬢様はもんもんしている
●9 夢野一子
●9 満田拓也 MAJOR メジャー2
●9 万乗大智 幻影少年 DANDOH
●9 本宮ひろ志
●9 武富智 EVIL HEART
●9 富明仁 冨明仁
●9 蛭田達也 コータローまかりとおる！
●9 尾瀬あきら どうらく息子
●9 白土三平
●9 内藤泰弘 血界戦線
●9 徳弘正也 シェイプアップ乱
●9 藤島康介
●9 藤子不二雄
●9 賭ケグルイ 賭け狂い
●9 津雲むつみ 闇の果てから
●9 長蔵ヒロコ
●9 中島徳博
●9 中沢啓治
●9 中原アヤ
●9 池上遼一 小池一夫 上村一夫
●9 大和和紀
●9 大石まさる 水惑星年代記
●9 太田モアレ 鉄風
●9 川三番地 七三太郎
●9 石渡治
●9 青木雄二
●9 青山広美 山根和俊 ギャンブルフィッシュ
●9 聖悠紀 超人ロック 宇宙歴順
●9 星野浩字 ビン 孫子異伝
●9 成田美名子 花よりも花の如く
●9 水野光博 飛松良輔 Deep3
●9 須賀篤志 須河篤志
●9 神様のバレー 神様バレー
●9 榛野なな恵 Papa told me
●9 森田まさのり べしゃり暮らし
●9 新田たつお
●9 小林有吾 アオアシ
●9 小林俊彦 ぱすてる
●9 小林まこと 柔道部物語
●9 小山ゆう
●9 秋月りす OL進化論
●9 手塚治虫 どろろ
●9 守村大 まんが 新白河原人 ウーパ！
●9 寺沢武一
●9 士郎正宗
●9 山田芳裕 デカスロン 度胸星
●9 山口貴由 シグルイ
●9 坂井久仁江
●9 佐藤タカヒロ バチバチ
●9 高田裕三 3×3EYES サザンアイズ
●9 高河ゆん
●9 荒川弘 鋼の錬金術師 アルスラーン戦記
●9 桂正和 ZETMAN
●9 魚豊 チ。地球の運動について
●9 宮下暁 東独にいた
●9 甘詰留太 ナナとカオル ハッピーネガティブマリッジ
●9 垣野内成美
●9 花村ヤソ アニメタ！
●9 河合克敏 モンキーターン とめはねっ！鈴里高校書道部
●9 岡本一広 トランスルーセント
●9 岡田芽武
●9 岡Q ミドリノバショ
●9 横山光輝
●9 園田健一
●9 永野護
●9 影待蛍太 グランドレス GROUNDLESS 狙撃兵
●9 羽海野チカ 3月のライオン ハチミツとクローバー
●9 宇仁田ゆみ うさぎドロップ
●9 一色まこと ピアノの森
●9 安彦良和
●9 安藤慈朗 しおんの王 白い巨塔
●9 安島薮太 クマ撃ちの女
●9 ゆずチリ 姫乃ちゃんに恋はまだ早い
●9 まちた ハルとアオのお弁当箱
●9 ボールルームへようこそ 竹内友
●9 ヒラマツミノル ヒラマツ ミノル アサギロ REGGIE レジー
●9 ひらまつつとむ
●9 ひぐちアサ おおきく振りかぶって
●9 バトルスタディーズ Battle Studies なきぼくろ
●9 ハヤテのごとく トニカクカワイイ 畑健二郎
●9 はっとりみつる 綺麗にしてもらえます さんかれあ
●9 テリー山本 西ゆうじ あんどーなつ
●9 てぃ先生
●9 つるまいかだ メダリスト
●9 つの丸 みどりのマキバオー
●9 すずゆき ふたり明日もそれなりに
●9 すえのぶけいこ ライフ
●9 しげの秀一 頭文字D MFゴースト
●9 さだやす圭
●9 こせきこうじ
●9 オジロマコト 富士山さんは思春期 カテキン
●9 うめざわしゅん ダーウィン事変
●9 アリスさんちの囲炉裏端
●9 あずまきよひこ よつばと
●9 アスペル・カノジョ
